UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	2
0	2
0	4
0	4
2	1
0	0
6	1
4	0
0	1
0	1
0	0
0	32
0	32
0	1
0	0
0	0
1	3
2	4
8	2
0	3
0	12
3	10
0	13
8	0
1	6
0	6
10	28
13	5
0	4
90	25
0	14
0	8
0	8
6	6
6	2
0	2
8	2
0	4
1	24
0	24
6	8
0	7
29	2
0	11
0	8
0	11
0	1
10	17
0	0
61	5
0	16
0	105
0	11
0	11
7	10
0	13
0	13
4	1
3	1
0	27
3	12
4	13
0	13
6	19
0	14
0	4
5	11
0	16
60	69
5	0
18	23
0	23
8	20
0	16
1	0
0	0
0	0
1	2
0	33
0	33
0	1
0	2
0	2
4	3
0	4
5	2
0	27
0	27
4	6
0	13
0	0
0	1
0	1
10	6
5	0
7	16
0	5
12	3
1	7
6	0
3	1
12	4
1	7
0	7
2	2
0	4
0	1
1	5
1	9
0	0
8	5
0	1
0	1
13	3
0	21
0	14
0	1
3	1
15	2
0	1
0	1
0	2
0	2
0	0
9	0
0	2
0	2
8	0
0	0
0	0
4	0
3	0
32	1
0	3
0	3
2	0
7	0
0	0
0	0
0	0
0	0
5	0
2	0
45	0
43	0
6	0
9	0
0	0
3	0
0	10
0	10
10	0
17	0
1	0
6	0
1	0
5	0
6	0
30	0
9	0
0	28
0	28
0	8
0	8
0	0
0	0
1	0
0	3
0	3
41	34
0	34
18	2
20	1
3	0
15	0
25	0
9	0
2	3
7	0
0	0
0	13
0	6
19	6
0	13
0	19
0	19
7	1
0	3
29	5
0	4
41	3
1	7
1	2
24	7
25	27
1	19
0	4
1	1
39	0
66	8
0	18
0	18
0	55
0	36
0	62
0	16
0	9
0	1
0	41
2	3
0	29
0	9
5	66
0	16
201	13
1	25
3	0
0	0
0	25
1	7
0	7
0	5
0	5
0	4
0	2
0	4
0	4
16	0
0	20
0	20
0	19
0	3
1	22
0	21
145	36
1	36
29	37
0	24
3	10
0	10
8	64
0	39
21	98
274	97
0	92
11	1
0	63
15	242
28	75
2	44
0	38
0	198
0	29
6	3
0	117
26	116
3	0
2	174
0	33
16	30
0	21
0	30
0	1
0	1
3	5
0	1
2	0
0	0
3	8
3	3
14	3
8	0
2	0
18	0
5	8
0	5
20	1
20	0
36	0
5	1
4	3
27	2
13	1
4	3
0	6
0	6
0	2
0	2
13	0
2	170
0	28
0	26
0	23
0	26
0	27
0	21
0	27
0	2
0	2
0	27
38	5
0	5
0	25
1	49
0	49
45	80
30	76
0	32
7	0
4	1
2	2
24	0
24	0
0	14
0	14
3	64
